                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9118,                 4.0423,                 4.2229,                0.00183,                0.20606,                0.00353,                0.00089,                      0,                    inf,                      0,                 0.0739,                 0.0029,                 0.0029
                      1,                 3.9073,                 3.9233,                 4.1662,                 0.0018,                0.21818,                0.00239,                0.00067,                      0,                    inf,                      0,               0.046783,              0.0057832,              0.0057832
                      2,                  3.722,                 3.7776,                 4.1009,                0.00188,                0.22727,                0.00264,                0.00071,                      0,                    inf,                      0,               0.019548,              0.0085476,              0.0085476
                      3,                 3.5888,                 3.6308,                 4.0017,                0.00215,                0.25455,                 0.0026,                0.00066,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 3.3798,                 3.4114,                 3.7784,                0.00783,                0.05758,                0.00375,                 0.0013,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 3.1704,                 3.2705,                 3.5145,                0.00822,                0.28485,                0.00489,                0.00152,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                  2.964,                 3.0874,                 3.2927,                0.03258,                0.06364,                0.01562,                 0.0051,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 2.8713,                 2.9762,                 3.1264,                0.03673,                0.07576,                0.01111,                0.00341,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 2.7486,                 2.8714,                 3.0217,                0.11725,                0.19091,                0.08211,                 0.0269,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 2.6475,                 2.7823,                 2.9064,                0.18826,                0.16667,                0.08984,                0.03554,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 2.5255,                 2.6227,                  2.747,                0.15829,                0.20303,                0.09068,                0.02942,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
